subject,phase,stimulus_set,source_vision_roi,target_imagery_roi,standard_rho,crossvalidated_rho,subject_p_greater,leave_target_min,leave_target_median,leave_target_max
2,validation,A,parietal,dorsal_parietal,-0.03214285714285714,0.1357142857142857,0.5444444444444444,-0.32121212121212117,-0.024242424242424246,0.3939393939393939
2,validation,A,visual_streams,early,0.375,0.10714285714285714,0.13055555555555556,0.22424242424242422,0.32727272727272727,0.709090909090909
2,validation,A,visual_streams,ventral,0.3107142857142857,0.24642857142857136,0.18333333333333332,-0.09090909090909088,0.2848484848484848,0.6484848484848483
2,validation,A,visual_streams,lateral,0.49642857142857144,0.39999999999999997,0.06388888888888888,0.10303030303030303,0.4727272727272727,0.8545454545454544
2,validation,A,visual_streams,midparietal,0.3821428571428571,0.35,0.12638888888888888,0.32121212121212117,0.3515151515151515,0.5515151515151515
2,validation,A,visual_streams,parietal,0.4642857142857143,0.1928571428571428,0.0763888888888889,0.29696969696969694,0.4787878787878787,0.6121212121212121
2,validation,A,visual_streams,visual_streams,0.5071428571428571,0.21428571428571427,0.05555555555555555,0.22424242424242422,0.5818181818181818,0.6484848484848483
2,validation,A,visual_streams,dorsal_parietal,0.34285714285714286,0.1357142857142857,0.15416666666666667,0.19999999999999998,0.35757575757575755,0.4787878787878787
2,validation,A,dorsal_parietal,early,0.2,0.13214285714285715,0.26944444444444443,0.05454545454545454,0.13939393939393938,0.6363636363636362
2,validation,A,dorsal_parietal,ventral,0.2,0.37857142857142856,0.27361111111111114,-0.06666666666666665,0.18787878787878787,0.5272727272727272
2,validation,A,dorsal_parietal,lateral,0.45714285714285713,0.2642857142857143,0.08333333333333333,0.12727272727272726,0.36969696969696964,0.7575757575757575
2,validation,A,dorsal_parietal,midparietal,0.24285714285714285,0.2785714285714285,0.2222222222222222,-0.06666666666666665,0.19999999999999998,0.5515151515151515
2,validation,A,dorsal_parietal,parietal,0.2892857142857143,0.125,0.17916666666666667,0.09090909090909088,0.3696969696969697,0.4787878787878787
2,validation,A,dorsal_parietal,visual_streams,0.38571428571428573,0.23928571428571427,0.09444444444444444,0.18787878787878787,0.37575757575757573,0.49090909090909085
2,validation,A,dorsal_parietal,dorsal_parietal,0.19642857142857142,0.075,0.2722222222222222,-0.10303030303030303,0.24848484848484848,0.4787878787878787
2,validation,B,early,early,0.6071428571428571,-0.2714285714285714,0.02638888888888889,0.3696969696969697,0.6545454545454544,0.709090909090909
2,validation,B,early,ventral,0.32857142857142857,-0.09285714285714285,0.14583333333333334,0.0303030303030303,0.32121212121212117,0.4424242424242424
2,validation,B,early,lateral,0.175,-0.1928571428571428,0.30833333333333335,-0.10303030303030303,0.04242424242424242,0.6363636363636362
2,validation,B,early,midparietal,0.4107142857142857,0.5,0.09722222222222222,0.2121212121212121,0.4242424242424242,0.5393939393939393
2,validation,B,early,parietal,0.25357142857142856,0.22142857142857136,0.22916666666666666,0.10303030303030303,0.1939393939393939,0.49090909090909085
2,validation,B,early,visual_streams,0.37142857142857144,-0.14285714285714282,0.11805555555555555,0.22424242424242422,0.3818181818181818,0.49090909090909085
2,validation,B,early,dorsal_parietal,0.16785714285714284,0.28928571428571426,0.2875,-0.0303030303030303,0.1515151515151515,0.406060606060606
2,validation,B,ventral,early,0.6821428571428572,-0.12142857142857141,0.009722222222222222,0.4666666666666666,0.5878787878787879,0.9393939393939393
2,validation,B,ventral,ventral,0.9392857142857143,0.5857142857142856,0.001388888888888889,0.8666666666666665,0.9393939393939393,0.9757575757575757
2,validation,B,ventral,lateral,0.7321428571428571,0.28928571428571426,0.004166666666666667,0.32121212121212117,0.7515151515151515,0.8787878787878788
2,validation,B,ventral,midparietal,0.8857142857142857,0.6499999999999999,0.001388888888888889,0.7333333333333332,0.8606060606060604,0.9515151515151514
2,validation,B,ventral,parietal,0.9035714285714286,0.39642857142857135,0.002777777777777778,0.7696969696969697,0.9393939393939393,0.9636363636363635
2,validation,B,ventral,visual_streams,0.9035714285714286,0.3607142857142856,0.001388888888888889,0.8545454545454544,0.8909090909090909,0.9151515151515152
2,validation,B,ventral,dorsal_parietal,0.8321428571428572,0.5107142857142856,0.002777777777777778,0.6121212121212121,0.8666666666666666,0.8909090909090909
2,validation,B,lateral,early,0.32142857142857145,0.175,0.15138888888888888,0.07878787878787878,0.3151515151515152,0.5757575757575757
2,validation,B,lateral,ventral,0.48214285714285715,0.7142857142857142,0.06527777777777778,0.18787878787878787,0.4424242424242424,0.8787878787878788
2,validation,B,lateral,lateral,0.4785714285714286,0.457142857142857,0.10416666666666667,0.24848484848484845,0.3878787878787878,0.9030303030303028
2,validation,B,lateral,midparietal,0.45714285714285713,0.3607142857142856,0.09027777777777778,0.2121212121212121,0.3939393939393939,0.8545454545454544
2,validation,B,lateral,parietal,0.575,0.4678571428571427,0.05277777777777778,0.19999999999999998,0.5818181818181818,0.8787878787878788
2,validation,B,lateral,visual_streams,0.6178571428571429,0.5678571428571427,0.03194444444444444,0.43030303030303024,0.6121212121212121,0.9393939393939393
2,validation,B,lateral,dorsal_parietal,0.5714285714285714,0.48214285714285704,0.043055555555555555,0.17575757575757575,0.5818181818181818,0.8909090909090909
2,validation,B,midparietal,early,0.08928571428571429,-0.825,0.35555555555555557,-0.23636363636363633,0.0606060606060606,0.5757575757575757
2,validation,B,midparietal,ventral,0.2392857142857143,-0.18928571428571428,0.2569444444444444,-0.006060606060606061,0.2303030303030303,0.5878787878787878
2,validation,B,midparietal,lateral,0.11428571428571428,-0.25357142857142856,0.2972222222222222,0.006060606060606061,0.06666666666666667,0.3939393939393939
2,validation,B,midparietal,midparietal,0.2392857142857143,-0.05714285714285713,0.2625,-0.07878787878787878,0.2303030303030303,0.5636363636363636
2,validation,B,midparietal,parietal,0.2642857142857143,0.15357142857142855,0.2513888888888889,0.0303030303030303,0.24848484848484845,0.5878787878787878
2,validation,B,midparietal,visual_streams,0.04642857142857143,-0.2178571428571428,0.3972222222222222,-0.19999999999999998,0.04242424242424241,0.29696969696969694
2,validation,B,midparietal,dorsal_parietal,0.2357142857142857,0.10357142857142855,0.26666666666666666,0.01818181818181818,0.22424242424242422,0.5636363636363636
2,validation,B,parietal,early,0.3357142857142857,-0.36785714285714277,0.14583333333333334,0.0303030303030303,0.3939393939393939,0.4666666666666666
2,validation,B,parietal,ventral,0.5535714285714286,0.37499999999999994,0.02638888888888889,0.34545454545454546,0.48484848484848475,0.8060606060606059
2,validation,B,parietal,lateral,0.36428571428571427,0.2285714285714285,0.10972222222222222,0.06666666666666665,0.3636363636363636,0.5878787878787878
2,validation,B,parietal,midparietal,0.4785714285714286,0.05357142857142857,0.06666666666666667,0.17575757575757575,0.4848484848484848,0.7454545454545454
