subject,phase,roi,stimulus_set,task,feature_model,rsa_rho,p_greater,p_two_sided
5,heldout,higher_visual,B,imagery,HOG,-0.10714285714285714,0.7527777777777778,0.5097222222222222
5,heldout,higher_visual,B,imagery,CLIP,-0.20714285714285716,0.8736111111111111,0.2638888888888889
6,heldout,nsdgeneral,A,vision,HOG,0.33901686157539773,0.09444444444444444,0.1638888888888889
6,heldout,nsdgeneral,A,vision,CLIP,0.05,0.39861111111111114,0.8083333333333333
6,heldout,nsdgeneral,A,imagery,HOG,0.46995988218388474,0.02361111111111111,0.04583333333333333
6,heldout,nsdgeneral,A,imagery,CLIP,0.12857142857142856,0.24444444444444444,0.4847222222222222
6,heldout,nsdgeneral,B,vision,HOG,-0.13214285714285715,0.7777777777777778,0.4583333333333333
6,heldout,nsdgeneral,B,vision,CLIP,-0.2357142857142857,0.8861111111111111,0.22777777777777777
6,heldout,nsdgeneral,B,imagery,HOG,0.05,0.3638888888888889,0.7375
6,heldout,nsdgeneral,B,imagery,CLIP,0.010714285714285714,0.4861111111111111,0.9597222222222223
6,heldout,early_visual,A,vision,HOG,0.5435032225256377,0.002777777777777778,0.016666666666666666
6,heldout,early_visual,A,vision,CLIP,0.06785714285714285,0.3958333333333333,0.7611111111111111
6,heldout,early_visual,A,imagery,HOG,0.5255658224422833,0.006944444444444444,0.018055555555555554
6,heldout,early_visual,A,imagery,CLIP,0.039285714285714285,0.4791666666666667,0.8694444444444445
6,heldout,early_visual,B,vision,HOG,-0.010714285714285714,0.5111111111111111,0.9555555555555556
6,heldout,early_visual,B,vision,CLIP,-0.34285714285714286,0.9791666666666666,0.05
6,heldout,early_visual,B,imagery,HOG,-0.03571428571428571,0.5763888888888888,0.8430555555555556
6,heldout,early_visual,B,imagery,CLIP,-0.325,0.9597222222222223,0.10555555555555556
6,heldout,higher_visual,A,vision,HOG,0.05739968026673401,0.41805555555555557,0.8125
6,heldout,higher_visual,A,vision,CLIP,0.22857142857142856,0.08888888888888889,0.2
6,heldout,higher_visual,A,imagery,HOG,0.43408508201717594,0.019444444444444445,0.07361111111111111
6,heldout,higher_visual,A,imagery,CLIP,-0.05357142857142857,0.6125,0.8
6,heldout,higher_visual,B,vision,HOG,-0.025,0.5555555555555556,0.8875
6,heldout,higher_visual,B,vision,CLIP,-0.26071428571428573,0.9152777777777777,0.19583333333333333
6,heldout,higher_visual,B,imagery,HOG,0.2642857142857143,0.0375,0.08333333333333333
6,heldout,higher_visual,B,imagery,CLIP,0.25,0.09166666666666666,0.18194444444444444
7,heldout,nsdgeneral,A,vision,HOG,0.35336678164208124,0.05555555555555555,0.11944444444444445
7,heldout,nsdgeneral,A,vision,CLIP,0.16428571428571428,0.2,0.4111111111111111
7,heldout,nsdgeneral,A,imagery,HOG,-0.06098716028340489,0.6430555555555556,0.8194444444444444
7,heldout,nsdgeneral,A,imagery,CLIP,0.08214285714285714,0.39166666666666666,0.7416666666666667
7,heldout,nsdgeneral,B,vision,HOG,-0.1,0.7111111111111111,0.5569444444444445
7,heldout,nsdgeneral,B,vision,CLIP,-0.2642857142857143,0.9111111111111111,0.18472222222222223
